Allied_Nations,Diplomatic_Meetings_Set,Percent_Of_Forces_Mobilized,Hostile_Nations,Active_Threats,Inactive_Threats,Citizen_Fear_Index,Closest_Threat_Distance(km),Aircraft_Carriers_Responding,Troops_Mobilized(thousands),DEFCON_Level,ID
7,1,0.09,3,4,13,0.479441997063142,355.1,1,880000,d,9693
8,0,0.38,2,10,41,0.317180616740083,359.34,1,1100000,d,1517
8,0,0.37,2,6,17,0.381057268722465,373.12,1,1038400,c,1369
9,0,0.65,7,6,18,0.655653450807642,348.74,1,959200,d,7909
7,0,0.49,2,8,20,0.552863436123348,368.88,1,906400,c,2142
7,1,0.26,3,23,48,0.567547723935388,364.64,1,1064800,c,901
7,1,0.01,2,14,35,0.389867841409682,355.1,1,862400,b,3423
8,0,0.44,2,28,48,0.156387665198229,358.28,0,1020800,e,1377
8,1,0.06,2,10,32,0.523494860499261,357.22,1,844800,c,468
7,0,0.08,2,18,34,0.432452276064612,356.16,0,880000,b,3148
10,0,0.46,2,5,11,0.414831130690161,332.84,0,1003200,d,7921
8,0,0.57,2,24,65,0.450073421439055,358.28,1,924000,b,539
6,1,0.31,2,15,55,0.501468428781202,387.96,1,897600,b,7822
10,0,0.39,2,28,51,0.596916299559467,334.96,1,844800,c,9171
14,0,0.76,2,23,41,0.802496328928039,309.52,1,836000,b,6480
7,1,0,2,15,21,0.479441997063142,382.66,1,862400,b,11895
9,1,0.23,3,15,86,0.611600587371507,351.92,1,853600,c,970
8,1,0.26,2,17,96,0.444199706314248,345.56,1,862400,c,1675
9,0,0.64,2,16,25,0.351688693098386,337.08,1,994400,c,9718
9,0,0.44,2,6,9,0.340675477239348,350.86,1,1029600,c,11728
12,1,0.49,2,5,14,0.729074889867841,338.14,0,792000,b,9343
6,1,0.1,2,18,31,0.290014684287816,369.94,1,1117600,c,12350
13,0,0.58,3,5,35,0.77312775330396,327.54,1,959200,c,1320
6,1,0.08,4,27,126,0.376651982378848,349.8,1,959200,c,6830
7,1,0.21,2,15,60,0.479441997063142,355.1,1,844800,b,6134
6,1,0,2,16,46,0.277533039647572,375.24,1,1020800,c,6614
8,1,0.21,2,4,7,0.450073421439055,357.22,1,924000,a,2050
9,0,0.57,3,6,17,0.338472834067535,333.9,1,1100000,d,9246
8,1,0.18,2,13,47,0.535242290748898,354.04,1,809600,b,11690
9,1,0.09,2,3,14,0.640969162995595,357.22,1,792000,c,11946
9,1,0.25,2,8,21,0.563142437591771,347.68,1,809600,b,6703
6,1,0.1,2,18,31,0.257709251101309,381.6,1,1126400,b,5523
7,1,0.07,2,16,26,0.417033773861965,358.28,1,924000,b,8805
7,1,0,2,18,38,0.523494860499261,360.4,1,853600,b,5673
8,1,0.18,2,6,20,0.450073421439055,342.38,1,836000,b,3937
7,0,0.44,2,7,18,0.522760646108654,361.46,1,906400,d,11
12,0,0.66,6,6,20,0.567547723935388,319.06,1,985600,c,8318
7,1,0.06,1,4,9,0.441262848751829,372.06,1,950400,b,8096
9,1,0.09,3,11,26,0.598384728340681,359.34,0,932800,c,6867
8,1,0.27,4,51,70,0.450807635829661,345.56,1,827200,b,9287
8,0,0.11,2,10,50,0.435389133627015,327.54,0,880000,b,671
8,1,0.12,2,24,48,0.523494860499261,347.68,1,827200,b,11290
7,1,0,2,22,39,0.549926578560937,391.14,1,897600,b,9360
10,0,0.53,2,12,51,0.596916299559467,356.16,1,853600,b,3624
12,1,0.66,2,5,43,0.729074889867841,333.9,1,792000,b,8853
7,1,0.1,1,13,28,0.372246696035231,348.74,1,985600,c,4418
10,0,0.47,2,9,28,0.596916299559467,339.2,1,853600,c,12469
5,1,0.08,1,13,21,0.188693098384719,378.42,1,1152800,b,1543
6,1,0.1,3,13,80,0.419236417033762,379.48,0,1073600,d,6385
9,0,0.51,2,17,69,0.473568281938328,325.42,1,809600,b,8789
8,0,0.32,2,17,38,0.262114537444926,346.62,1,1091200,c,6352
8,1,0.01,2,5,11,0.430249632892799,358.28,1,880000,b,11384
10,0,0.42,2,7,12,0.400146842878121,305.28,1,1003200,c,3123
7,0,0.24,2,19,49,0.403083700440524,360.4,1,888800,c,7835
8,0,0.17,2,6,16,0.435389133627015,347.68,1,897600,a,2271
7,1,0.02,2,10,31,0.347283406754769,355.1,1,915200,c,8515
8,1,0.43,2,5,22,0.257709251101309,329.66,1,1126400,c,5985
7,1,0.03,3,32,90,0.508810572687221,352.98,1,836000,c,8706
9,0,0.43,2,31,68,0.310572687224662,334.96,1,1038400,c,10311
8,0,0.32,2,7,14,0.437591776798819,346.62,1,994400,b,2441
9,1,0.24,3,28,52,0.611600587371507,328.6,1,915200,c,118
8,1,0.13,2,11,59,0.526431718061672,354.04,1,792000,b,11353
6,1,0.66,2,19,98,0.266519823788543,352.98,1,1135200,c,9433
8,1,0.08,2,9,48,0.444199706314248,345.56,0,862400,b,3335
9,1,0,3,4,12,0.685022026431714,364.64,0,836000,a,4056
10,1,0.23,2,8,28,0.479441997063142,342.38,1,880000,c,1934
7,0,0.39,3,18,72,0.582232011747428,364.64,1,800800,b,4251
6,0,0.03,2,28,58,0.310572687224662,367.82,0,950400,c,5415
7,1,0.22,2,12,49,0.369309838472828,374.18,1,1012000,c,10078
10,1,0.28,2,31,92,0.569016152716594,348.74,1,888800,a,544
7,1,0.1,1,13,28,0.372246696035231,340.26,1,959200,b,11087
9,0,0.52,2,18,69,0.452276064610859,359.34,1,1047200,c,6406
7,1,0.06,2,15,67,0.433920704845809,358.28,1,880000,b,6171
8,0,0.32,2,24,71,0.582232011747428,352.98,1,853600,b,8421
9,1,0.5,2,27,81,0.516152716593241,322.24,1,827200,b,7459
11,0,0.64,2,7,45,0.618942731277535,336.02,1,844800,b,7713
9,0,0.31,6,8,24,0.338472834067535,333.9,1,1056000,c,8980
8,1,0.01,2,7,19,0.428046989720995,339.2,1,880000,d,5033
5,1,0.08,1,13,21,0.320851688693093,425.06,1,1003200,c,11820
9,1,0.26,2,9,21,0.486784140969162,339.2,1,800800,b,8310
9,1,0.34,3,18,58,0.648311306901614,350.86,1,862400,b,11514
5,1,0.17,2,18,91,0.244493392070475,378.42,1,1091200,b,2952
10,0,0.44,2,22,46,0.530102790014682,342.38,1,924000,c,10522
8,1,0.25,4,7,27,0.523494860499261,348.74,1,809600,b,46
7,0,0.11,1,6,16,0.346549192364162,348.74,1,880000,d,110
8,0,0.26,2,23,71,0.508810572687221,336.02,1,844800,b,12017
12,0,0.56,2,15,54,0.608663729809104,321.18,1,862400,c,4479
7,1,0.09,2,7,23,0.464757709251094,373.12,1,915200,b,10540
7,1,0.02,2,31,92,0.410425844346544,354.04,1,976800,c,4738
8,0,0.68,2,25,59,0.538179148311301,319.06,1,800800,c,8483
9,0,0.46,2,6,10,0.482378854625545,346.62,1,827200,b,2534
8,1,0,2,3,11,0.486784140969162,363.58,0,853600,a,798
12,0,0.54,3,7,20,0.729074889867841,330.72,1,959200,c,19
8,0,0.68,2,16,69,0.582232011747428,326.48,1,792000,b,10551
9,1,0.26,2,5,14,0.417767988252572,355.1,0,818400,a,6556
8,1,0.14,2,13,35,0.523494860499261,354.04,1,792000,c,2495
8,1,0.21,2,33,133,0.410425844346544,344.5,1,818400,b,1597
11,0,0.69,3,17,47,0.681350954478704,338.14,1,924000,c,2135
16,1,0.49,4,19,112,0.96035242290749,315.88,1,774400,c,5273
8,0,0.4,2,11,61,0.376651982378848,359.34,1,1047200,c,2028
9,0,0.36,2,10,31,0.360499265785603,346.62,1,1029600,c,2442
8,1,0.33,2,24,129,0.508810572687221,340.26,1,844800,b,9095
12,0,0.65,3,17,41,0.729074889867841,328.6,1,941600,b,10830
12,0,0.56,2,23,41,0.596916299559467,320.12,1,862400,c,10433
6,0,0.39,2,18,37,0.309104258443456,364.64,1,1056000,c,8834
8,0,0.42,2,9,20,0.167400881057259,348.74,1,1126400,d,11176
8,1,0.18,2,5,20,0.534508076358291,342.38,1,809600,b,2993
6,0,0,2,27,52,0.315712187958885,372.06,1,1100000,c,1124
9,1,0.3,3,17,112,0.574889867841408,348.74,1,827200,b,11274
6,1,0.02,2,19,52,0.382525697503662,380.54,0,985600,a,6288
13,0,0.65,3,6,16,0.737885462555074,323.3,1,853600,d,8509
10,0,0.46,2,5,12,0.560205580029368,328.6,1,915200,d,9498
10,1,0.37,15,30,124,0.655653450807642,343.44,1,1038400,d,10784
8,1,0.22,2,33,69,0.382525697503662,338.14,0,818400,b,1976
8,0,0.3,2,32,84,0.582966226138035,357.22,1,880000,c,8865
8,0,0.53,2,9,20,0.406020558002936,344.5,1,906400,c,4034
8,1,0.1,2,27,60,0.453744493392064,347.68,1,897600,b,11743
7,1,0,4,27,67,0.582966226138035,352.98,1,809600,b,2782
11,0,0.58,3,10,41,0.541850220264311,343.44,1,1100000,d,3112
6,1,0.08,4,5,14,0.486049926578555,374.18,1,827200,b,11109
8,0,0.12,2,6,21,0.358296622613799,334.96,1,862400,c,10728
8,1,0.22,2,17,91,0.464757709251094,341.32,1,836000,c,5018
12,0,0.63,2,6,19,0.552863436123348,329.66,1,932800,c,12100
8,1,0.29,2,16,74,0.476505139500731,330.72,1,818400,b,12456
7,1,0.29,2,9,55,0.582232011747428,369.94,1,818400,b,4500
8,1,0.61,2,19,112,0.494126284875182,334.96,1,809600,b,896
8,0,0.25,3,7,34,0.545521292217329,359.34,0,853600,b,6
6,1,0,2,28,52,0.209251101321581,372.06,1,968000,c,1581
10,0,0.5,3,5,13,0.510279001468427,352.98,1,844800,b,9032
9,1,0.18,4,13,104,0.685022026431714,333.9,1,827200,b,6721
6,1,0.1,2,16,89,0.253303964757708,375.24,1,1051600,b,10789
8,0,0.42,2,8,22,0.295888399412622,348.74,1,994400,d,11973
10,0,0.39,2,8,19,0.496328928046978,333.9,1,959200,c,3959
7,1,0.02,2,5,11,0.380323054331858,362.52,1,844800,b,848
6,0,0.09,2,18,28,0.290014684287816,377.36,1,985600,b,1069
7,1,0.05,2,18,42,0.464757709251094,354.04,0,818400,b,8370
6,0,0.17,2,17,38,0.260646108663728,367.82,1,1091200,b,2152
9,0,0.32,2,21,72,0.475036710719525,345.56,1,818400,a,11432
12,0,0.48,2,5,14,0.494126284875182,325.42,1,871200,c,5434
8,1,0.01,3,6,9,0.545521292217329,357.22,0,888800,a,5057
7,1,0,2,4,8,0.461820851688691,345.56,1,897600,b,1982
5,0,0.11,2,6,19,0.244493392070475,389.02,1,1091200,b,2100
9,0,0.49,3,17,68,0.582232011747428,340.26,1,765600,b,2966
9,0,0.4,2,3,9,0.347283406754769,346.62,1,1012000,b,10131
7,1,0.01,2,11,31,0.417033773861965,354.04,1,906400,b,298
7,1,0.18,2,27,105,0.475770925110132,351.92,1,862400,b,11440
6,1,0.13,3,18,28,0.207782672540376,365.7,1,1100000,c,7953
8,1,0.28,3,38,102,0.582966226138035,343.44,1,924000,c,9314
7,0,0.19,2,3,7,0.457415565345074,345.56,1,844800,b,2102
10,0,0.47,2,6,24,0.552863436123348,332.84,1,968000,d,1249
11,1,0.22,2,19,34,0.802496328928039,306.34,1,888800,c,12284
8,0,0.59,2,24,35,0.592511013215851,365.7,1,924000,b,5157
7,0,0.33,2,11,26,0.339941262848749,356.16,1,1091200,c,4954
11,0,0.44,4,27,69,0.523494860499261,316.94,1,1064800,c,7283
5,0,0.27,2,23,48,0.290014684287816,389.02,1,1038400,c,1713
9,1,0.31,3,25,48,0.611600587371507,351.92,1,853600,b,7833
8,0,0.43,2,12,21,0.552863436123348,345.56,0,836000,b,12063
10,1,0.24,3,32,152,0.596916299559467,328.6,1,809600,b,6269
7,0,0.25,2,14,39,0.316446402349476,357.22,1,985600,b,3265
8,1,0.16,2,21,38,0.317914831130681,341.32,1,994400,c,4377
9,0,0.32,6,10,36,0.407488986784141,336.02,1,1012000,b,1906
12,0,0.49,3,19,41,0.75844346549192,330.72,1,827200,b,12015
8,0,0.44,2,6,21,0.552863436123348,359.34,1,994400,d,5727
12,0,0.57,2,5,20,0.674008810572684,343.44,1,906400,b,3515
10,0,0.5,14,6,13,0.714390602055801,345.56,1,968000,b,9130
8,1,0.09,2,28,55,0.492657856093968,357.22,1,906400,b,3351
6,1,0,2,3,13,0.272393538913349,380.54,1,1047200,d,2799
8,1,0.15,4,13,59,0.538179148311301,350.86,0,844800,c,8514
7,0,0.24,2,5,21,0.231277533039649,356.16,0,1082400,c,2644
9,0,0.48,2,22,46,0.494126284875182,344.5,1,800800,c,2635
7,0,0.37,2,3,10,0.200440528634356,358.28,1,1152800,c,892
9,0,0.39,2,20,42,0.473568281938328,360.4,1,994400,d,12046
10,1,0.39,2,21,68,0.662995594713654,349.8,1,888800,a,10739
11,0,0.6,2,3,8,0.370778267254042,337.08,1,1082400,c,5496
7,0,0.37,1,14,37,0.341409691629955,371,1,976800,c,4179
9,0,0.43,2,31,51,0.298825256975025,337.08,1,1056000,c,9550
8,0,0.7,8,28,45,0.570484581497791,354.04,1,1012000,c,5330
7,1,0.09,2,16,49,0.456681350954476,348.74,1,862400,b,10180
10,0,0.46,2,5,17,0.563142437591771,330.72,1,950400,b,11328
7,1,0.01,2,9,18,0.353157121879575,360.4,1,959200,c,7923
7,1,0.1,2,16,86,0.541850220264311,373.12,1,827200,c,6306
12,1,0.66,2,6,15,0.589574155653448,318,1,880000,b,9195
10,0,0.23,3,5,14,0.516152716593241,354.04,0,862400,c,8006
7,1,0.1,2,39,64,0.441262848751829,330.72,0,809600,b,4585
9,1,0.23,3,29,65,0.646842878120401,334.96,1,827200,b,9704
9,0,0.36,3,6,11,0.594713656387671,348.74,1,871200,c,4885
7,0,0,2,3,14,0.429515418502201,354.04,0,809600,b,4889
11,0,0.42,2,36,165,0.533773861967692,358.28,1,818400,b,3879
9,1,0.24,3,15,93,0.536710719530095,310.58,1,818400,b,5486
8,1,0.05,2,8,46,0.444199706314248,344.5,1,897600,c,4359
6,0,0,1,16,46,0.331864904552122,365.7,1,1117600,c,11951
10,0,0.44,2,11,25,0.505139500734211,343.44,1,959200,e,5047
7,1,0.21,2,8,62,0.463289280469889,375.24,1,897600,b,764
10,1,0.11,3,37,87,0.699706314243761,338.14,1,800800,b,1141
7,1,0.02,8,6,16,0.508810572687221,361.46,1,941600,c,2019
7,1,0.02,2,15,28,0.316446402349476,359.34,1,994400,c,9271
7,1,0.02,2,8,46,0.417767988252572,355.1,1,827200,a,7450
7,1,0.08,2,10,19,0.530837004405281,367.82,0,827200,a,7057
8,1,0.22,2,9,65,0.526431718061672,357.22,1,836000,b,7148
13,0,0.55,4,10,24,0.964023494860508,349.8,1,976800,d,10552
9,0,0.38,2,20,136,0.633627019089575,345.56,1,853600,b,711
7,1,0,3,7,16,0.508810572687221,355.1,0,809600,b,3591
11,1,0.24,2,8,31,0.517621145374455,341.32,0,871200,a,11622
9,1,0.26,2,5,15,0.640969162995595,351.92,1,800800,c,450
8,1,0.14,2,17,36,0.516152716593241,331.78,1,809600,b,1735
9,1,0.68,2,13,88,0.545521292217329,307.4,2,800800,b,4826
8,1,0,3,6,14,0.64977973568282,368.88,1,941600,c,2382
8,0,0.36,6,10,47,0.538179148311301,345.56,1,792000,b,1588
10,0,0.39,2,7,20,0.560205580029368,341.32,0,915200,c,1970
8,0,0.32,2,14,96,0.582966226138035,339.2,0,809600,b,3427
8,1,0.06,3,11,29,0.685022026431714,371,1,897600,b,846
8,1,0.03,2,25,43,0.455947136563869,349.8,0,897600,a,7849
8,0,0.4,2,6,15,0.381057268722465,364.64,1,1100000,c,3816
7,0,0.29,2,31,70,0.497797356828192,362.52,1,836000,c,3481
8,0,0.32,2,7,25,0.413362701908955,346.62,1,827200,b,5945
8,0,0.17,3,12,44,0.464023494860495,337.08,1,897600,c,6456
8,0,0.3,2,18,45,0.589574155653448,362.52,1,950400,d,10313
8,1,0,4,25,33,0.429515418502201,339.2,0,827200,b,10357
6,1,0,2,15,33,0.209251101321581,378.42,1,1100000,c,293
9,1,0.18,2,24,119,0.523494860499261,311.64,1,862400,b,8337
10,0,0.38,2,14,39,0.435389133627015,337.08,1,968000,c,6866
12,0,0.65,3,17,41,0.685022026431714,337.08,1,1003200,c,2305
7,1,0.07,2,20,49,0.279001468428778,330.72,0,818400,b,2490
6,0,0.04,2,40,89,0.317914831130681,375.24,1,950400,c,7295
7,0,0.07,3,13,33,0.453010279001466,365.7,1,959200,a,8121
8,0,0.4,2,6,12,0.582232011747428,349.8,1,932800,c,5741
7,1,0.02,2,17,30,0.523494860499261,364.64,1,880000,b,167
9,1,0.17,3,12,115,0.626284875183555,333.9,1,809600,b,8630
8,1,0.12,2,38,46,0.353891336270182,329.66,0,818400,b,6563
8,1,0.29,4,16,37,0.530837004405281,350.86,1,844800,c,2390
7,1,0.19,5,12,74,0.459618208516879,345.56,1,897600,c,8193
9,1,0.11,2,9,30,0.608663729809104,351.92,1,897600,c,3981
8,1,0.19,2,23,94,0.508810572687221,343.44,1,827200,b,6181
7,1,0.16,2,15,105,0.361967694566808,346.62,1,950400,b,11568
6,0,0.22,2,16,36,0.332599118942729,378.42,1,1003200,b,5199
6,0,0.04,1,34,46,0.398678414096916,371,0,875600,d,10392
7,1,0.12,2,4,15,0.435389133627015,355.1,0,888800,b,6841
10,0,0.46,1,6,14,0.466960352422899,322.24,0,1003200,d,4186
8,1,0,2,5,14,0.430249632892799,339.2,0,880000,b,9895
8,1,0.31,2,16,37,0.604258443465487,363.58,1,950400,b,8692
8,1,0.08,2,15,63,0.498531571218798,331.78,1,809600,b,9374
8,0,0.42,2,9,21,0.307635829662258,345.56,1,976800,b,6460
9,1,0.34,2,16,23,0.552863436123348,354.04,1,924000,c,3533
7,0,0.47,3,18,54,0.514684287812036,357.22,1,853600,c,7648
8,0,0.12,2,6,36,0.285609397944199,347.68,1,1038400,c,10780
6,0,0.09,2,17,84,0.0829662261380224,390.08,1,1232000,e,5366
10,0,0.59,3,4,17,0.640969162995595,350.86,1,880000,b,3849
7,0,0.49,2,23,57,0.501468428781202,362.52,1,836000,b,5784
8,0,0.26,2,1,28,0.421439060205582,344.5,1,862400,c,8275
10,1,0.25,2,12,38,0.515418502202634,334.96,0,818400,b,7985
8,0,0.36,2,6,12,0.582232011747428,359.34,1,924000,c,8342
8,1,0.12,2,16,42,0.442731277533035,329.66,0,906400,b,12368
8,0,0.6,2,27,59,0.332599118942729,356.16,1,1047200,d,12457
9,0,0.59,2,18,43,0.501468428781202,356.16,1,915200,b,5522
12,0,0.64,1,7,23,0.674008810572684,338.14,1,994400,d,12266
7,1,0.07,2,15,26,0.455212922173278,367.82,1,1012000,d,7363
7,1,0.05,2,19,35,0.372246696035231,372.06,1,1003200,b,5916
11,0,0.48,3,17,47,0.569016152716594,316.94,1,1064800,d,11875
9,0,0.4,3,12,28,0.445668135095438,364.64,1,1047200,c,2689
6,1,0,2,11,31,0.532305433186495,366.76,1,844800,b,7583
7,1,0,2,13,56,0.74375917767988,391.14,1,897600,b,9215
13,0,0.66,2,6,16,0.74375917767988,327.54,1,897600,b,484
8,0,0.31,2,32,75,0.494126284875182,351.92,1,836000,b,11358
8,0,0.06,4,5,19,0.596916299559467,358.28,1,844800,b,289
8,1,0.19,2,36,104,0.441262848751829,345.56,1,871200,b,7968
10,1,0.48,2,6,25,0.714390602055801,345.56,1,897600,b,7178
8,0,0.4,2,6,16,0.582232011747428,337.08,0,836000,b,91
6,1,0.14,2,21,48,0.372246696035231,381.6,1,1082400,c,11366
9,1,0.25,2,5,14,0.510279001468427,350.86,1,853600,c,3387
6,1,0.66,2,3,10,0.309104258443456,362.52,1,1117600,c,51
6,1,0.14,2,15,35,0.260646108663728,365.7,1,1100000,c,3846
11,1,0.67,2,6,13,0.626284875183555,323.3,1,800800,b,2061
7,1,0.19,2,14,31,0.523494860499261,367.82,1,853600,c,1472
10,0,0.45,2,6,12,0.438325991189418,341.32,1,1020800,c,1852
7,0,0.32,2,21,51,0.437591776798819,347.68,1,862400,c,2274
9,0,0.46,5,3,10,0.477973568281928,330.72,1,1064800,a,9582
9,1,0.14,2,10,28,0.351688693098386,354.04,1,976800,b,9701
8,0,0.37,1,5,16,0.331130690161515,349.8,1,1100000,d,6974
10,0,0.45,2,6,12,0.526431718061672,343.44,1,888800,e,487
8,0,0.43,2,29,50,0.356093979441994,357.22,1,1003200,c,9371
7,1,0.22,2,15,64,0.479441997063142,364.64,1,818400,b,5257
7,0,0.32,2,4,10,0.388399412628485,342.38,1,1029600,e,6320
6,0,0,2,27,44,0.209251101321581,372.06,1,1020800,b,1323
9,1,0.28,2,9,21,0.483847283406751,333.9,1,792000,c,3955
7,1,0,3,21,38,0.389867841409682,361.46,1,950400,b,6766
8,1,0.1,2,28,38,0.386196769456672,359.34,1,985600,c,5110
6,0,0.25,2,3,44,0.500734214390595,356.16,1,818400,c,1360
8,1,0.1,2,14,59,0.604258443465487,350.86,1,809600,b,4701
6,0,0.78,2,17,44,0.10499265785609,351.92,1,1029600,d,4252
6,1,0,2,7,20,0.303230543318642,354.04,1,994400,d,1558
8,0,0.68,2,17,56,0.501468428781202,340.26,1,809600,c,10296
12,0,0.55,3,7,20,0.692364170337741,338.14,1,1073600,d,6636
7,1,0,2,6,9,0.353157121879575,374.18,1,888800,a,5845
8,0,0.2,1,10,42,0.472099853157122,359.34,1,827200,b,10971
8,1,0.03,4,51,90,0.535242290748898,340.26,1,827200,b,7512
10,0,0.42,2,5,10,0.345814977973555,305.28,1,1003200,c,9526
6,0,0.4,3,18,42,0.276798825256965,367.82,1,1020800,c,9118
12,0,0.51,4,19,35,0.699706314243761,347.68,1,1029600,c,8409
7,1,0.23,4,21,86,0.530837004405281,364.64,1,862400,b,8891
9,1,0.18,3,9,78,0.611600587371507,345.56,1,814000,a,3753
9,1,0.26,2,5,15,0.582232011747428,346.62,1,840400,a,7925
7,1,0,4,25,33,0.497063142437585,373.12,1,968000,c,3759
6,1,0.01,4,5,20,0.376651982378848,368.88,1,1064800,b,6856
8,0,0.43,2,29,50,0.357562408223192,358.28,1,1082400,d,2467
8,0,0.31,2,13,96,0.494126284875182,345.56,1,827200,b,498
8,0,0.68,2,24,121,0.538179148311301,326.48,1,792000,b,286
6,1,0.21,2,15,60,0.392070484581495,366.76,1,976800,b,5353
10,0,0.35,1,6,11,0.254772393538906,305.28,1,1126400,d,8222
7,1,0.19,5,31,131,0.604258443465487,367.82,1,827200,b,4215
10,0,0.39,3,7,12,0.552863436123348,344.5,1,844800,c,8886
7,0,0.3,2,35,58,0.522026431718055,367.82,1,809600,c,5839
7,1,0.12,2,15,28,0.417033773861965,358.28,1,906400,c,9744
7,1,0.01,2,14,56,0.541116005873712,368.88,1,862400,b,9802
7,1,0.02,4,5,16,0.508810572687221,368.88,1,836000,b,8381
7,0,0.02,2,28,42,0.428046989720995,356.16,1,827200,c,11279
7,1,0,2,3,19,0.435389133627015,354.04,0,809600,b,7058
7,1,0,2,3,13,0.285609397944199,355.1,1,994400,c,8282
5,1,0.17,5,11,69,0.413362701908955,393.26,1,985600,b,1336
7,1,0.23,2,16,72,0.494126284875182,347.68,1,836000,b,2840
9,1,0.11,2,4,14,0.417767988252572,355.1,0,818400,c,1798
6,1,0.21,4,34,104,0.451541850220268,352.98,1,968000,b,4661
8,0,0.18,2,5,16,0.428046989720995,336.02,0,932800,b,5633
9,0,0.45,2,34,48,0.438325991189418,356.16,1,1038400,c,2773
9,0,0.4,2,19,42,0.310572687224662,346.62,1,1047200,c,7160
8,0,0.68,2,27,65,0.156387665198229,340.26,0,1029600,c,10695
7,1,0,2,50,54,0.394273127753299,374.18,0,959200,c,10725
7,0,0.31,2,43,77,0.294419970631416,345.56,1,1038400,c,6838
10,0,0.37,2,31,52,0.491189427312779,330.72,1,932800,d,9863
9,0,0.52,2,16,62,0.458883994126288,311.64,0,1029600,d,11543
8,1,0,2,10,28,0.558737151248155,374.18,1,880000,b,2659
7,0,0.04,2,19,88,0.251835535976503,345.56,1,1003200,c,2694
7,0,0.18,2,12,25,0.494126284875182,343.44,1,853600,c,172
7,0,0.6,2,25,116,0.357562408223192,345.56,1,1003200,b,3910
8,0,0.32,3,29,52,0.523494860499261,350.86,1,959200,c,393
8,1,0.09,2,28,63,0.406020558002936,349.8,1,836000,b,5869
9,1,0.17,3,5,21,0.571953010279005,330.72,1,924000,c,5333
8,1,0.32,2,28,65,0.298825256975025,348.74,0,1100000,d,2919
9,1,0.11,3,11,53,0.714390602055801,368.88,0,968000,c,7053
9,0,0.37,3,8,19,0.397944199706309,349.8,1,1064800,d,3226
11,0,0.47,2,6,15,0.640969162995595,341.32,1,853600,d,7688
9,1,0.17,2,11,28,0.373715124816445,346.62,1,976800,b,1985
9,0,0.3,3,10,28,0.464757709251094,352.98,1,985600,e,11547
7,1,0.01,2,8,28,0.542584434654917,391.14,1,818400,b,9210
6,1,0.05,2,11,45,0.337738619676945,368.88,1,1003200,c,3169
12,0,0.49,3,12,27,0.7511013215859,331.78,1,906400,c,6716
9,1,0.05,2,27,109,0.523494860499261,347.68,1,792000,b,4312
7,1,0.02,2,10,24,0.420704845814975,356.16,1,880000,b,1183
7,1,0.02,2,37,53,0.269456681350946,355.1,1,1100000,e,4776
7,0,0.33,2,11,29,0.444933920704839,373.12,1,959200,c,1017
10,0,0.58,3,11,35,0.574889867841408,348.74,1,1100000,d,8334
9,0,0.24,7,3,14,1,347.68,1,880000,b,3352
8,1,0.09,2,25,49,0.470631424375908,351.92,1,959200,c,1659
9,1,0.15,2,25,66,0.552863436123348,341.32,1,915200,c,2074
9,0,0.47,2,34,85,0.567547723935388,326.48,1,853600,b,1313
7,0,0.29,2,20,47,0.329662261380318,354.04,1,1047200,c,9608
9,0,0.3,3,14,28,0.397944199706309,339.2,1,915200,c,2787
6,1,0.03,2,27,87,0.256975036710718,382.66,1,836000,c,3740
7,0,0.28,2,32,84,0.582966226138035,373.12,1,809600,b,1412
9,0,0.5,2,14,32,0.604258443465487,355.1,1,906400,d,5422
6,1,0.08,2,32,61,0.361967694566808,365.7,0,924000,b,5
10,1,0.37,15,31,76,0.831864904552135,363.58,1,818400,b,9765
7,0,0.42,3,18,42,0.453010279001466,357.22,1,924000,b,11683
7,1,0.02,2,9,22,0.479441997063142,365.7,1,959200,c,399
9,1,0.1,2,8,29,0.599853157121879,375.24,1,968000,b,3641
6,0,0,2,3,13,0.272393538913349,366.76,1,1152800,d,6496
7,0,0.24,2,30,54,0.460352422907486,361.46,1,888800,b,2014
7,1,0.26,7,35,115,0.596916299559467,348.74,0,827200,b,2518
6,1,0.02,2,9,18,0.398678414096916,354.04,1,880000,c,11556
7,0,0.27,2,3,23,0.444933920704839,352.98,1,809600,c,4781
9,0,0.36,3,10,45,0.626284875183555,350.86,1,950400,c,7760
7,1,0,2,11,20,0.435389133627015,354.04,1,906400,c,3006
7,1,0.03,2,7,19,0.439794419970632,356.16,1,915200,c,4894
7,0,0.46,2,21,50,0.552863436123348,374.18,1,959200,c,10628
6,1,0.08,2,19,35,0.241556534508072,381.6,1,1003200,b,5613
5,1,0.09,2,7,17,0.284875183553592,383.72,1,959200,a,8557
8,1,0.28,2,10,38,0.604258443465487,368.88,1,809600,b,11466
8,1,0.08,2,14,113,0.361967694566808,331.78,0,844800,b,1964
7,1,0.08,2,22,89,0.428046989720995,351.92,1,818400,c,10176
7,1,0.02,2,15,28,0.369309838472828,355.1,1,888800,c,8720
7,0,0.25,2,23,74,0.403083700440524,360.4,1,888800,c,4193
7,1,0.07,2,8,19,0.406020558002936,360.4,0,880000,b,2688
8,0,0.63,3,32,55,0.479441997063142,340.26,1,836000,b,10088
8,0,0.43,2,22,68,0.382525697503662,359.34,1,950400,b,8069
9,0,0.49,2,23,67,0.486784140969162,328.6,1,809600,b,12098
8,1,0.34,3,13,98,0.683553597650508,357.22,1,827200,b,742
